INPUDIRECTION;INPUTTRANSDUCER;OUTPUTFILE;PROBEWIDTH
-65.625 -67.5 80.0 -65.625 -67.35 80.0 -65.625 -67.2 80.0 -65.625 -67.05 80.0 ;-65.625 -67.5 157.0 -65.625 -67.35 157.0 -65.625 -67.2 157.0 -65.625 -67.05 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_0_0.imf;18.75
-46.875 -67.5 80.0 -46.875 -67.35 80.0 -46.875 -67.2 80.0 -46.875 -67.05 80.0 ;-46.875 -67.5 157.0 -46.875 -67.35 157.0 -46.875 -67.2 157.0 -46.875 -67.05 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_1_0.imf;18.75
-28.125 -67.5 80.0 -28.125 -67.35 80.0 -28.125 -67.2 80.0 -28.125 -67.05 80.0 ;-28.125 -67.5 157.0 -28.125 -67.35 157.0 -28.125 -67.2 157.0 -28.125 -67.05 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_2_0.imf;18.75
-9.375 -67.5 80.0 -9.375 -67.35 80.0 -9.375 -67.2 80.0 -9.375 -67.05 80.0 ;-9.375 -67.5 157.0 -9.375 -67.35 157.0 -9.375 -67.2 157.0 -9.375 -67.05 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_3_0.imf;18.75
9.375 -67.5 80.0 9.375 -67.35 80.0 9.375 -67.2 80.0 9.375 -67.05 80.0 ;9.375 -67.5 157.0 9.375 -67.35 157.0 9.375 -67.2 157.0 9.375 -67.05 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_4_0.imf;18.75
28.125 -67.5 80.0 28.125 -67.35 80.0 28.125 -67.2 80.0 28.125 -67.05 80.0 ;28.125 -67.5 157.0 28.125 -67.35 157.0 28.125 -67.2 157.0 28.125 -67.05 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_5_0.imf;18.75
46.875 -67.5 80.0 46.875 -67.35 80.0 46.875 -67.2 80.0 46.875 -67.05 80.0 ;46.875 -67.5 157.0 46.875 -67.35 157.0 46.875 -67.2 157.0 46.875 -67.05 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_6_0.imf;18.75
65.625 -67.5 80.0 65.625 -67.35 80.0 65.625 -67.2 80.0 65.625 -67.05 80.0 ;65.625 -67.5 157.0 65.625 -67.35 157.0 65.625 -67.2 157.0 65.625 -67.05 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_7_0.imf;18.75
-65.625 -52.5 80.0 -65.625 -52.35 80.0 -65.625 -52.2 80.0 -65.625 -52.05 80.0 ;-65.625 -52.5 157.0 -65.625 -52.35 157.0 -65.625 -52.2 157.0 -65.625 -52.05 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_0_1.imf;18.75
-46.875 -52.5 80.0 -46.875 -52.35 80.0 -46.875 -52.2 80.0 -46.875 -52.05 80.0 ;-46.875 -52.5 157.0 -46.875 -52.35 157.0 -46.875 -52.2 157.0 -46.875 -52.05 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_1_1.imf;18.75
-28.125 -52.5 80.0 -28.125 -52.35 80.0 -28.125 -52.2 80.0 -28.125 -52.05 80.0 ;-28.125 -52.5 157.0 -28.125 -52.35 157.0 -28.125 -52.2 157.0 -28.125 -52.05 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_2_1.imf;18.75
-9.375 -52.5 80.0 -9.375 -52.35 80.0 -9.375 -52.2 80.0 -9.375 -52.05 80.0 ;-9.375 -52.5 157.0 -9.375 -52.35 157.0 -9.375 -52.2 157.0 -9.375 -52.05 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_3_1.imf;18.75
9.375 -52.5 80.0 9.375 -52.35 80.0 9.375 -52.2 80.0 9.375 -52.05 80.0 ;9.375 -52.5 157.0 9.375 -52.35 157.0 9.375 -52.2 157.0 9.375 -52.05 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_4_1.imf;18.75
28.125 -52.5 80.0 28.125 -52.35 80.0 28.125 -52.2 80.0 28.125 -52.05 80.0 ;28.125 -52.5 157.0 28.125 -52.35 157.0 28.125 -52.2 157.0 28.125 -52.05 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_5_1.imf;18.75
46.875 -52.5 80.0 46.875 -52.35 80.0 46.875 -52.2 80.0 46.875 -52.05 80.0 ;46.875 -52.5 157.0 46.875 -52.35 157.0 46.875 -52.2 157.0 46.875 -52.05 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_6_1.imf;18.75
65.625 -52.5 80.0 65.625 -52.35 80.0 65.625 -52.2 80.0 65.625 -52.05 80.0 ;65.625 -52.5 157.0 65.625 -52.35 157.0 65.625 -52.2 157.0 65.625 -52.05 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_7_1.imf;18.75
-65.625 -37.5 80.0 -65.625 -37.35 80.0 -65.625 -37.2 80.0 -65.625 -37.050000000000004 80.0 ;-65.625 -37.5 157.0 -65.625 -37.35 157.0 -65.625 -37.2 157.0 -65.625 -37.050000000000004 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_0_2.imf;18.75
-46.875 -37.5 80.0 -46.875 -37.35 80.0 -46.875 -37.2 80.0 -46.875 -37.050000000000004 80.0 ;-46.875 -37.5 157.0 -46.875 -37.35 157.0 -46.875 -37.2 157.0 -46.875 -37.050000000000004 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_1_2.imf;18.75
-28.125 -37.5 80.0 -28.125 -37.35 80.0 -28.125 -37.2 80.0 -28.125 -37.050000000000004 80.0 ;-28.125 -37.5 157.0 -28.125 -37.35 157.0 -28.125 -37.2 157.0 -28.125 -37.050000000000004 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_2_2.imf;18.75
-9.375 -37.5 80.0 -9.375 -37.35 80.0 -9.375 -37.2 80.0 -9.375 -37.050000000000004 80.0 ;-9.375 -37.5 157.0 -9.375 -37.35 157.0 -9.375 -37.2 157.0 -9.375 -37.050000000000004 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_3_2.imf;18.75
9.375 -37.5 80.0 9.375 -37.35 80.0 9.375 -37.2 80.0 9.375 -37.050000000000004 80.0 ;9.375 -37.5 157.0 9.375 -37.35 157.0 9.375 -37.2 157.0 9.375 -37.050000000000004 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_4_2.imf;18.75
28.125 -37.5 80.0 28.125 -37.35 80.0 28.125 -37.2 80.0 28.125 -37.050000000000004 80.0 ;28.125 -37.5 157.0 28.125 -37.35 157.0 28.125 -37.2 157.0 28.125 -37.050000000000004 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_5_2.imf;18.75
46.875 -37.5 80.0 46.875 -37.35 80.0 46.875 -37.2 80.0 46.875 -37.050000000000004 80.0 ;46.875 -37.5 157.0 46.875 -37.35 157.0 46.875 -37.2 157.0 46.875 -37.050000000000004 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_6_2.imf;18.75
65.625 -37.5 80.0 65.625 -37.35 80.0 65.625 -37.2 80.0 65.625 -37.050000000000004 80.0 ;65.625 -37.5 157.0 65.625 -37.35 157.0 65.625 -37.2 157.0 65.625 -37.050000000000004 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_7_2.imf;18.75
